               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.023017,            0.014553,            0.028145,             0.48333,             0.68362,             0.68001,             0.47607,             0.01552,           0.0058657,            0.018514,            0.006436,            0.006436,            0.006436
                  38,            0.027227,            0.014669,            0.033045,             0.51672,             0.68407,             0.69239,             0.52219,            0.013595,           0.0059908,            0.018172,            0.006337,            0.006337,            0.006337
                  39,             0.02531,            0.014944,            0.032329,             0.56051,             0.71478,             0.71765,             0.52376,            0.014077,           0.0059291,            0.017928,            0.006238,            0.006238,            0.006238
                  40,            0.027222,            0.014573,            0.032338,              0.6147,             0.67495,             0.72857,             0.55875,            0.013309,           0.0059566,            0.017571,            0.006139,            0.006139,            0.006139
                  41,            0.026212,            0.015024,            0.028913,             0.61587,             0.70527,             0.74081,             0.52409,            0.016343,           0.0057906,            0.016746,             0.00604,             0.00604,             0.00604
                  42,            0.024043,            0.014235,            0.030013,             0.64215,             0.69157,             0.75787,             0.58856,            0.013444,           0.0056744,             0.01613,            0.005941,            0.005941,            0.005941
                  43,             0.02064,            0.015067,            0.030181,             0.65569,             0.74126,             0.79177,              0.5747,            0.016003,           0.0057608,            0.015943,            0.005842,            0.005842,            0.005842
                  44,            0.020249,            0.013585,            0.024089,             0.66605,             0.76661,             0.80304,             0.58494,            0.015833,           0.0056689,            0.015357,            0.005743,            0.005743,            0.005743
                  45,            0.025729,            0.015242,            0.029445,             0.69442,             0.73717,             0.81641,             0.63955,            0.013035,            0.005589,             0.01524,            0.005644,            0.005644,            0.005644
                  46,            0.022422,            0.014641,            0.027048,             0.72621,             0.73796,             0.82202,             0.58385,            0.015807,           0.0057531,            0.014603,            0.005545,            0.005545,            0.005545
                  47,            0.017871,            0.014317,            0.025127,             0.73057,             0.73869,              0.8264,             0.62363,            0.013176,           0.0057463,            0.013854,            0.005446,            0.005446,            0.005446
                  48,            0.018986,             0.01418,            0.023709,             0.72423,             0.75986,             0.83391,             0.59836,            0.015293,            0.005729,            0.013434,            0.005347,            0.005347,            0.005347
                  49,            0.026015,            0.014481,            0.025276,             0.69852,             0.76313,             0.82396,             0.59371,            0.014273,           0.0055948,            0.013263,            0.005248,            0.005248,            0.005248
                  50,            0.022643,             0.01536,            0.025148,             0.64751,             0.77539,             0.82093,             0.61254,            0.013691,            0.005596,            0.013002,            0.005149,            0.005149,            0.005149
                  51,            0.020506,             0.01456,            0.025005,             0.68494,             0.78969,             0.82428,             0.61553,            0.013896,           0.0057181,            0.012946,             0.00505,             0.00505,             0.00505
                  52,             0.02163,            0.014781,            0.025955,             0.71431,             0.78158,             0.84654,              0.6646,            0.012217,           0.0056086,            0.011925,            0.004951,            0.004951,            0.004951
                  53,            0.021997,             0.01513,            0.024334,             0.75011,              0.7965,             0.86433,             0.62254,            0.015046,           0.0055576,            0.010848,            0.004852,            0.004852,            0.004852
                  54,            0.022657,            0.014155,            0.024359,             0.79083,             0.81078,             0.88294,             0.66541,            0.014701,            0.005576,            0.010291,            0.004753,            0.004753,            0.004753
                  55,            0.019863,            0.014108,             0.02387,             0.79684,             0.80661,             0.88242,             0.69234,            0.012135,            0.005351,            0.010127,            0.004654,            0.004654,            0.004654
                  56,            0.022204,             0.01403,            0.023695,             0.79635,             0.80441,             0.88917,             0.69259,            0.012768,            0.005331,           0.0098043,            0.004555,            0.004555,            0.004555
                  57,            0.023122,            0.014337,            0.025873,              0.7758,             0.84964,             0.90081,             0.69915,            0.013888,           0.0054169,           0.0094434,            0.004456,            0.004456,            0.004456
                  58,            0.023341,            0.013809,            0.024262,             0.81436,             0.83979,             0.91348,             0.71919,            0.012266,           0.0052808,           0.0090568,            0.004357,            0.004357,            0.004357
                  59,            0.020875,            0.015004,            0.022148,             0.83984,             0.82181,             0.91156,             0.70127,            0.013575,           0.0053049,           0.0088047,            0.004258,            0.004258,            0.004258
                  60,             0.02142,            0.014159,            0.021624,             0.85977,             0.78415,             0.90999,             0.74162,            0.012187,           0.0051931,           0.0086818,            0.004159,            0.004159,            0.004159
                  61,            0.020807,            0.012911,             0.02245,             0.80959,             0.82939,             0.90798,             0.70442,            0.013204,            0.005312,           0.0081057,             0.00406,             0.00406,             0.00406
                  62,            0.021124,            0.014065,            0.021577,             0.85538,             0.84215,              0.9224,             0.68856,            0.014501,           0.0053657,           0.0076944,            0.003961,            0.003961,            0.003961
                  63,            0.020306,            0.013217,            0.020242,             0.88087,             0.84086,             0.92764,             0.74577,            0.012759,           0.0053331,           0.0074553,            0.003862,            0.003862,            0.003862
                  64,            0.021553,            0.014303,             0.02331,             0.88874,              0.8576,             0.93404,             0.76425,            0.011842,           0.0053749,           0.0072378,            0.003763,            0.003763,            0.003763
                  65,            0.021534,            0.012971,            0.021288,             0.89635,             0.86555,             0.94645,             0.74402,            0.012599,           0.0052852,           0.0067314,            0.003664,            0.003664,            0.003664
                  66,            0.017479,            0.013174,            0.017353,             0.88033,             0.85733,             0.94507,             0.78627,             0.01086,           0.0051801,            0.006715,            0.003565,            0.003565,            0.003565
                  67,            0.019598,            0.012886,            0.018607,             0.87836,             0.88652,             0.94819,             0.78284,            0.010931,           0.0052398,           0.0063917,            0.003466,            0.003466,            0.003466
                  68,            0.018855,            0.013603,            0.019496,             0.87126,             0.88265,             0.94376,             0.74395,            0.012133,           0.0052657,           0.0061917,            0.003367,            0.003367,            0.003367
                  69,             0.02015,             0.01411,            0.017514,             0.91042,             0.87628,             0.95379,             0.77646,            0.012077,           0.0051975,           0.0057211,            0.003268,            0.003268,            0.003268
                  70,            0.021991,            0.013797,            0.021111,             0.91918,              0.8753,             0.95527,             0.77897,            0.012213,           0.0051695,           0.0056926,            0.003169,            0.003169,            0.003169
                  71,            0.018775,            0.013886,            0.017844,             0.92933,             0.86982,             0.95925,             0.77696,             0.01117,           0.0052094,            0.005577,             0.00307,             0.00307,             0.00307
                  72,            0.018806,             0.01325,            0.017915,               0.898,             0.90113,             0.96052,             0.74341,            0.011703,            0.005243,           0.0053556,            0.002971,            0.002971,            0.002971
                  73,             0.01803,            0.013855,            0.018941,             0.90334,             0.89554,             0.95863,              0.7826,            0.011796,           0.0051423,           0.0051623,            0.002872,            0.002872,            0.002872
                  74,            0.020022,             0.01413,            0.022043,             0.92277,               0.885,             0.95921,             0.80338,            0.011122,           0.0050119,           0.0050416,            0.002773,            0.002773,            0.002773
                  75,            0.017293,            0.013234,            0.017552,               0.917,             0.90943,             0.96261,             0.78799,            0.011247,           0.0049664,           0.0047943,            0.002674,            0.002674,            0.002674
                  76,             0.01742,            0.013196,            0.015668,             0.91898,             0.92545,             0.96611,             0.79815,            0.011481,           0.0049923,           0.0045136,            0.002575,            0.002575,            0.002575
                  77,            0.020265,            0.012302,             0.01786,             0.92244,             0.92605,             0.96769,             0.76374,            0.012013,           0.0050745,           0.0043298,            0.002476,            0.002476,            0.002476
                  78,            0.017544,            0.013923,            0.017978,             0.92103,              0.9308,             0.96804,             0.81445,            0.010703,            0.005004,           0.0043828,            0.002377,            0.002377,            0.002377
                  79,            0.017973,            0.012928,            0.017909,              0.9297,             0.93052,             0.96803,             0.81083,            0.010894,           0.0050693,           0.0042866,            0.002278,            0.002278,            0.002278
                  80,            0.017808,            0.013145,            0.016627,             0.93209,             0.93225,              0.9712,             0.79183,            0.011506,            0.004916,           0.0042478,            0.002179,            0.002179,            0.002179
                  81,            0.018247,            0.012009,            0.018015,             0.94133,             0.91455,             0.96978,             0.81962,            0.011175,           0.0049354,           0.0042519,             0.00208,             0.00208,             0.00208
                  82,            0.018975,            0.013647,            0.017884,             0.94584,              0.9132,             0.97052,             0.81969,            0.010498,           0.0048836,           0.0041117,            0.001981,            0.001981,            0.001981
